what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1376947181049
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1376947184235
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1376947192673
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1376947196918
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1376947200124
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1376947202860
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1376947203740
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1376947210209
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1376947769649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1376947770452
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1376947921096
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1376947923586
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1376947923586
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1376947923601
executed,command,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui.EquinoxLaunchShortcut.run",1376947929128
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1376947930731
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1376947934150
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1376947953657
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1376947954323
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1376947977329
