what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"8",1377024577460
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1377024577460
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1377024577460
java.specification.name,sysinfo,,,"Java Platform API Specification",1377024577460
java.specification.vendor,sysinfo,,,"Oracle Corporation",1377024577460
java.specification.version,sysinfo,,,"1.7",1377024577460
java.vendor,sysinfo,,,"Oracle Corporation",1377024577460
java.version,sysinfo,,,"1.7.0_17",1377024577460
java.vm.info,sysinfo,,,"mixed mode",1377024577460
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1377024577460
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1377024577460
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1377024577460
java.vm.specification.version,sysinfo,,,"1.7",1377024577460
java.vm.vendor,sysinfo,,,"Oracle Corporation",1377024577460
java.vm.version,sysinfo,,,"23.7-b01",1377024577460
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1377024577622
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1377024577755
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.300.v201011231608,"org.eclipse.jst.ws.jaxrs.core",1377024577834
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1377024578073
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377024578074
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377024634394
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1377024636339
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1377024637744
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1377024638474
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1377024638831
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1377024643616
executed,command,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui.EquinoxLaunchShortcut.run",1377024653488
started,bundle,org.eclipse.pde.build,3.7.0.v20110512-1320,"org.eclipse.pde.build",1377024653931
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377024686709
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377024702586
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1377024703731
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1377024705177
